ID,Pathway
ECT2,G alpha (12/13) signalling events
ECT2,RHOA GTPase cycle
ECT2,RHOB GTPase cycle
ABCA1,NR1H2 and NR1H3-mediated signaling
ABCA1,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
S1PR1,Potential therapeutics for SARS
S1PR3,Extra-nuclear estrogen signaling
PHC1,Regulation of PTEN gene transcription
PHC2,Regulation of PTEN gene transcription
EEF1A1,SARS-CoV-1-host interactions
EEF1A1,SARS-CoV-1 modulates host translation machinery
EEF2,Uptake and actions of bacterial toxins
EEF2,Bacterial Infection Pathways
EGF,Signaling by ERBB2
EGF,Signaling by ERBB2 in Cancer
EGF,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
EGF,Signaling by ERBB4
EGF,Signaling by EGFR in Cancer
EGF,Signaling by EGFR
EGF,EGFR downregulation
EGF,Negative regulation of the PI3K/AKT network
EGF,PI3K/AKT Signaling in Cancer
EGF,Constitutive Signaling by Aberrant PI3K in Cancer
EGF,Constitutive Signaling by EGFRvIII
EGF,Signaling by EGFRvIII in Cancer
EGF,Signaling by Ligand-Responsive EGFR Variants in Cancer
EGF,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
EGF,Signaling by PTK6
EGF,Downregulation of ERBB2 signaling
EGF,Signaling by Non-Receptor Tyrosine Kinases
EGF,Extra-nuclear estrogen signaling
EGF,Signaling by NOTCH3
EGF,NOTCH3 Activation and Transmission of Signal to the Nucleus
EGF,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
EGF,Signaling by ERBB2 KD Mutants
EGF,Signaling by ERBB2 ECD mutants
EGF,Signaling by ERBB2 TMD/JMD mutants
EGFR,Signaling by ERBB2
EGFR,Signaling by ERBB2 in Cancer
EGFR,Signaling by ERBB4
EGFR,Signaling by EGFR in Cancer
EGFR,Signaling by EGFR
EGFR,Signaling by PTK6
EGFR,Signaling by Non-Receptor Tyrosine Kinases
EGFR,HCMV Infection
EGFR,HCMV Early Events
EGFR,Signaling by ERBB2 KD Mutants
EGFR,Signaling by ERBB2 ECD mutants
EGFR,Signaling by ERBB2 TMD/JMD mutants
EGFR,Respiratory Syncytial Virus Infection Pathway
EGR1,Signaling by NTRK1 (TRKA)
EGR1,Nuclear Events (kinase and transcription factor activation)
EGR1,Regulation of PTEN gene transcription
EGR1,NGF-stimulated transcription
EGR2,Signaling by NTRK1 (TRKA)
EGR2,Nuclear Events (kinase and transcription factor activation)
EGR2,NGF-stimulated transcription
EGR3,Signaling by NTRK1 (TRKA)
EGR3,Nuclear Events (kinase and transcription factor activation)
EGR3,NGF-stimulated transcription
EGR4,Signaling by NTRK1 (TRKA)
EGR4,Nuclear Events (kinase and transcription factor activation)
EGR4,NGF-stimulated transcription
ANO6,Induction of Cell-Cell Fusion
ANO6,Late SARS-CoV-2 Infection Events
ADCY4,Opioid Signalling
ADCY4,PKA-mediated phosphorylation of CREB
ADCY4,Calmodulin induced events
ADCY4,Ca-dependent events
ADCY4,CaM pathway
ADCY4,G-protein mediated events
ADCY4,PLC beta mediated events
ADCY4,DAG and IP3 signaling
ADCY4,PKA activation
ADCY4,Adenylate cyclase activating pathway
ADCY4,Adenylate cyclase inhibitory pathway
ADCY4,G alpha (s) signalling events
ADCY4,G alpha (z) signalling events
ADCY4,Hedgehog 'off' state
ADCY4,GPER1 signaling
ADCY4,ADORA2B mediated anti-inflammatory cytokines production
ADCY4,Anti-inflammatory response favouring Leishmania parasite infection
ADCY4,FCGR3A-mediated IL10 synthesis
ADCY4,Leishmania parasite growth and survival
EPHA2,RAC2 GTPase cycle
EPHA2,RHOG GTPase cycle
EPHA2,RHOU GTPase cycle
EPHA2,RAC3 GTPase cycle
EPHA2,RHOV GTPase cycle
EPHA2,RND3 GTPase cycle
EPHA2,RND2 GTPase cycle
EPHA2,RND1 GTPase cycle
MLKL,Diseases of programmed cell death
EIF4B,MTOR signalling
EIF4B,mTORC1-mediated signalling
EIF4E,MTOR signalling
EIF4E,mTORC1-mediated signalling
EIF4EBP1,MTOR signalling
EIF4EBP1,mTORC1-mediated signalling
EIF4G1,MTOR signalling
EIF4G1,mTORC1-mediated signalling
ELF3,Pre-NOTCH Transcription and Translation
ELF3,Pre-NOTCH Expression and Processing
ELK1,Signaling by NTRK1 (TRKA)
ELK1,Nuclear Events (kinase and transcription factor activation)
ELK1,ERK/MAPK targets
ELK1,Extra-nuclear estrogen signaling
ELK1,HCMV Infection
ELK1,HCMV Early Events
ELK1,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
SPRED2,Signaling by FGFR
SPRED2,Signaling by FGFR1
SPRED2,Regulation of RAS by GAPs
SPRED2,Oncogenic MAPK signaling
KCTD6,Estrogen-dependent gene expression
ARL13B,RHOQ GTPase cycle
ARL13B,RHOJ GTPase cycle
RPL22L1,Viral mRNA Translation
MUC20,Diseases of glycosylation
MUC20,Diseases associated with O-glycosylation of proteins
MUC20,Defective GALNT3 causes HFTC
MUC20,Defective GALNT12 causes CRCS1
MUC20,Diseases of metabolism
MUC20,Signaling by MET
EMD,RAC2 GTPase cycle
EMD,RHOD GTPase cycle
EMD,RHOG GTPase cycle
EMD,RAC3 GTPase cycle
CTTN,RHO GTPases activate PAKs
ENO1,Infection with Mycobacterium tuberculosis
ENO1,Response of Mtb to phagocytosis
ENO1,Bacterial Infection Pathways
KHDRBS2,Signaling by PTK6
KHDRBS2,Signaling by Non-Receptor Tyrosine Kinases
TUBB,Potential therapeutics for SARS
EP300,Signaling by TGF-beta Receptor Complex
EP300,Signaling by NTRK1 (TRKA)
EP300,Pre-NOTCH Transcription and Translation
EP300,Pre-NOTCH Expression and Processing
EP300,Signaling by NOTCH1
EP300,Signaling by NOTCH2
EP300,Nuclear Events (kinase and transcription factor activation)
EP300,Signaling by ALK
EP300,Formation of the beta-catenin:TCF transactivating complex
EP300,NOTCH1 Intracellular Domain Regulates Transcription
EP300,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
EP300,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
EP300,NOTCH2 intracellular domain regulates transcription
EP300,Signaling by NOTCH1 PEST Domain Mutants in Cancer
EP300,Signaling by NOTCH1 in Cancer
EP300,Constitutive Signaling by NOTCH1 PEST Domain Mutants
EP300,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
EP300,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
EP300,Signaling by NOTCH3
EP300,NOTCH3 Intracellular Domain Regulates Transcription
EP300,Signaling by NOTCH4
EP300,NOTCH4 Intracellular Domain Regulates Transcription
EP300,Estrogen-dependent gene expression
EP300,NR1H2 and NR1H3-mediated signaling
EP300,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
EP300,NGF-stimulated transcription
EP300,SARS-CoV-1-host interactions
EP300,STAT3 nuclear events downstream of ALK signaling
EP300,SARS-CoV-1 targets host intracellular signalling and regulatory pathways
EP300,Respiratory Syncytial Virus Infection Pathway
EP300,Evasion by RSV of host interferon responses
EP300,RSV-host interactions
EP300,Signaling by TGFBR3
EP300,TGFBR3 expression
EPAS1,Signaling by PTK6
EPAS1,Signaling by Non-Receptor Tyrosine Kinases
ANO5,Induction of Cell-Cell Fusion
ANO5,Late SARS-CoV-2 Infection Events
STOM,RHOA GTPase cycle
STOM,RHOB GTPase cycle
STOM,RHOC GTPase cycle
STOM,RHOQ GTPase cycle
STOM,RHOH GTPase cycle
STOM,RHOJ GTPase cycle
EPO,Signaling by Erythropoietin
EPO,Erythropoietin activates Phosphoinositide-3-kinase (PI3K)
EPOR,Signaling by Erythropoietin
EPS15,Signaling by EGFR
EPS15,EGFR downregulation
EPS15,Signaling by MET
EPS15,Negative regulation of MET activity
EPS15,InlB-mediated entry of Listeria monocytogenes into host cell
EPS15,Listeria monocytogenes entry into host cells
EPS15,Bacterial Infection Pathways
ERBB2,Signaling by ERBB2
ERBB2,Signaling by ERBB2 in Cancer
ERBB2,Downregulation of ERBB2 signaling
ERCC2,Formation of HIV elongation complex in the absence of HIV Tat
ERCC2,Formation of the HIV-1 Early Elongation Complex
ERCC2,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
ERCC2,HIV Transcription Initiation
ERCC2,RNA Polymerase II HIV Promoter Escape
ERCC2,HIV Transcription Elongation
ERCC2,Transcription of the HIV genome
ERCC2,Formation of HIV-1 elongation complex containing HIV-1 Tat
ERCC2,Tat-mediated elongation of the HIV-1 transcript
AKT1,Signaling by VEGF
AKT1,Negative regulation of the PI3K/AKT network
AKT1,PI3K/AKT Signaling in Cancer
AKT1,G beta:gamma signalling through PI3Kgamma
AKT1,G-protein beta:gamma signalling
AKT1,VEGFA-VEGFR2 Pathway
AKT1,VEGFR2 mediated vascular permeability
AKT1,Constitutive Signaling by AKT1 E17K in Cancer
AKT1,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
AKT1,Signaling by PTK6
AKT1,Signaling by Non-Receptor Tyrosine Kinases
ERCC3,Formation of HIV elongation complex in the absence of HIV Tat
ERCC3,Formation of the HIV-1 Early Elongation Complex
ERCC3,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
ERCC3,HIV Transcription Initiation
ERCC3,RNA Polymerase II HIV Promoter Escape
ERCC3,HIV Transcription Elongation
ERCC3,Transcription of the HIV genome
ERCC3,Formation of HIV-1 elongation complex containing HIV-1 Tat
ERCC3,Tat-mediated elongation of the HIV-1 transcript
AKT2,PI3K Cascade
AKT2,IRS-mediated signalling
AKT2,Signaling by VEGF
AKT2,Negative regulation of the PI3K/AKT network
AKT2,PI3K/AKT Signaling in Cancer
AKT2,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
AKT2,IGF1R signaling cascade
AKT2,IRS-related events triggered by IGF1R
AKT2,G beta:gamma signalling through PI3Kgamma
AKT2,G-protein beta:gamma signalling
AKT2,VEGFA-VEGFR2 Pathway
AKT2,VEGFR2 mediated vascular permeability
AKT2,Constitutive Signaling by AKT1 E17K in Cancer
AKT2,Insulin receptor signalling cascade
AKT2,Signaling by Insulin receptor
ESR1,Signaling by ERBB4
ESR1,Nuclear signaling by ERBB4
ESR1,Negative regulation of the PI3K/AKT network
ESR1,PI3K/AKT Signaling in Cancer
ESR1,Constitutive Signaling by Aberrant PI3K in Cancer
ESR1,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
ESR1,Extra-nuclear estrogen signaling
ESR1,Estrogen-dependent gene expression
ESR2,Negative regulation of the PI3K/AKT network
ESR2,PI3K/AKT Signaling in Cancer
ESR2,Constitutive Signaling by Aberrant PI3K in Cancer
ESR2,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
ESR2,Extra-nuclear estrogen signaling
ETV4,MAPK6/MAPK4 signaling
EVC,Hedgehog 'on' state
EVC,Activation of SMO
MECOM,Regulation of PTEN gene transcription
EXT1,Diseases of glycosylation
EXT1,Diseases of metabolism
EXT2,Diseases of glycosylation
EXT2,Diseases of metabolism
EZH2,Regulation of PTEN gene transcription
EZH2,HCMV Infection
EZH2,HCMV Early Events
EZH2,Diseases of programmed cell death
EZH2,Defective pyroptosis
ALDH1A1,Signaling by Retinoic Acid
ALDH1A1,RA biosynthesis pathway
FABP5,Signaling by Retinoic Acid
FABP6,NR1H2 and NR1H3-mediated signaling
FABP7,Signaling by NOTCH3
FABP7,NOTCH3 Intracellular Domain Regulates Transcription
PTK2B,Signaling by VEGF
PTK2B,VEGFA-VEGFR2 Pathway
PTK2B,RHOU GTPase cycle
FASN,NR1H2 and NR1H3-mediated signaling
MED19,Respiratory Syncytial Virus Infection Pathway
MED19,RSV-host interactions
FAU,Viral mRNA Translation
FAU,SARS-CoV-1-host interactions
FAU,SARS-CoV-1 modulates host translation machinery
FAU,SARS-CoV-2 modulates host translation machinery
ALDH1A3,Signaling by Retinoic Acid
ALDH1A3,RA biosynthesis pathway
OTUD1,TNFR1-induced proapoptotic signaling
OTUD1,Regulation of TNFR1 signaling
OTUD1,TNFR1-induced NF-kappa-B signaling pathway
OTUD1,TNF signaling
FCGR1A,Anti-inflammatory response favouring Leishmania parasite infection
FCGR1A,FCGR3A-mediated IL10 synthesis
FCGR1A,Leishmania parasite growth and survival
FCGR3A,Anti-inflammatory response favouring Leishmania parasite infection
FCGR3A,FCGR3A-mediated IL10 synthesis
FCGR3A,Parasite infection
FCGR3A,Leishmania phagocytosis
FCGR3A,FCGR3A-mediated phagocytosis
FCGR3A,Leishmania parasite growth and survival
FGD2,NRAGE signals death through JNK
FGD2,p75 NTR receptor-mediated signalling
FGD2,"Cell death signalling via NRAGE, NRIF and NADE"
FGD2,G alpha (12/13) signalling events
KDM1B,NR1H2 and NR1H3-mediated signaling
KDM1B,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
DAGLB,Effects of PIP2 hydrolysis
GPRC6A,Class C/3 (Metabotropic glutamate/pheromone receptors)
FAM83B,Signaling by EGFR
FAM83B,RND3 GTPase cycle
FAM83B,RND2 GTPase cycle
FAM83B,RND1 GTPase cycle
FDX1,Diseases of metabolism
FDXR,Diseases of metabolism
FEN1,Early Phase of HIV Life Cycle
ALDH3A2,RND2 GTPase cycle
ALDH3A2,RND1 GTPase cycle
FER,Signaling by SCF-KIT
FES,Signaling by SCF-KIT
FGA,Integrin signaling
FGA,p130Cas linkage to MAPK signaling for integrins
FGA,MAP2K and MAPK activation
FGA,Signaling by moderate kinase activity BRAF mutants
FGA,Signaling by high-kinase activity BRAF mutants
FGA,Signaling by RAS mutants
FGA,Signaling by BRAF and RAF1 fusions
FGA,Paradoxical activation of RAF signaling by kinase inactive BRAF
FGA,Oncogenic MAPK signaling
FGA,Signaling downstream of RAS mutants
FGA,Signaling by RAF1 mutants
FGB,Integrin signaling
FGB,p130Cas linkage to MAPK signaling for integrins
FGB,MAP2K and MAPK activation
FGB,Signaling by moderate kinase activity BRAF mutants
FGB,Signaling by high-kinase activity BRAF mutants
FGB,Signaling by RAS mutants
FGB,Signaling by BRAF and RAF1 fusions
FGB,Paradoxical activation of RAF signaling by kinase inactive BRAF
FGB,Oncogenic MAPK signaling
FGB,Signaling downstream of RAS mutants
FGB,Signaling by RAF1 mutants
FGD1,NRAGE signals death through JNK
FGD1,p75 NTR receptor-mediated signalling
FGD1,"Cell death signalling via NRAGE, NRIF and NADE"
FGD1,G alpha (12/13) signalling events
FGF1,PI3K Cascade
FGF1,IRS-mediated signalling
FGF1,Signaling by FGFR in disease
FGF1,FGFR1 mutant receptor activation
FGF1,FGFR2 mutant receptor activation
FGF1,Signaling by FGFR
FGF1,FGFR2 ligand binding and activation
FGF1,FGFR4 ligand binding and activation
FGF1,Negative regulation of the PI3K/AKT network
FGF1,Activated point mutants of FGFR2
FGF1,PI3K/AKT Signaling in Cancer
FGF1,Constitutive Signaling by Aberrant PI3K in Cancer
FGF1,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
FGF1,IGF1R signaling cascade
FGF1,IRS-related events triggered by IGF1R
FGF1,Phospholipase C-mediated cascade; FGFR2
FGF1,Phospholipase C-mediated cascade; FGFR4
FGF1,Downstream signaling of activated FGFR1
FGF1,PI-3K cascade:FGFR1
FGF1,FRS-mediated FGFR1 signaling
FGF1,PI-3K cascade:FGFR2
FGF1,Downstream signaling of activated FGFR2
FGF1,SHC-mediated cascade:FGFR2
FGF1,FRS-mediated FGFR2 signaling
FGF1,FRS-mediated FGFR3 signaling
FGF1,Downstream signaling of activated FGFR3
FGF1,FRS-mediated FGFR4 signaling
FGF1,Downstream signaling of activated FGFR4
FGF1,SHC-mediated cascade:FGFR4
FGF1,PI-3K cascade:FGFR4
FGF1,Negative regulation of FGFR1 signaling
FGF1,Negative regulation of FGFR2 signaling
FGF1,Negative regulation of FGFR3 signaling
FGF1,Negative regulation of FGFR4 signaling
FGF1,Signaling by FGFR1
FGF1,Signaling by FGFR2
FGF1,Signaling by FGFR3
FGF1,Signaling by FGFR4
FGF1,Signaling by FGFR2 in disease
FGF1,Signaling by FGFR1 in disease
FGF1,Signaling by FGFR3 in disease
FGF1,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
FGF1,Insulin receptor signalling cascade
FGF1,Signaling by Insulin receptor
FGF1,Signaling by FGFR2 IIIa TM
FGF3,PI3K Cascade
FGF3,IRS-mediated signalling
FGF3,Signaling by FGFR in disease
FGF3,FGFR2 mutant receptor activation
FGF3,Signaling by FGFR
FGF3,FGFR2 ligand binding and activation
FGF3,Negative regulation of the PI3K/AKT network
FGF3,Activated point mutants of FGFR2
FGF3,PI3K/AKT Signaling in Cancer
FGF3,Constitutive Signaling by Aberrant PI3K in Cancer
FGF3,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
FGF3,IGF1R signaling cascade
FGF3,IRS-related events triggered by IGF1R
FGF3,Phospholipase C-mediated cascade; FGFR2
FGF3,Downstream signaling of activated FGFR1
FGF3,PI-3K cascade:FGFR1
FGF3,FRS-mediated FGFR1 signaling
FGF3,PI-3K cascade:FGFR2
FGF3,Downstream signaling of activated FGFR2
FGF3,SHC-mediated cascade:FGFR2
FGF3,FRS-mediated FGFR2 signaling
FGF3,Negative regulation of FGFR1 signaling
FGF3,Negative regulation of FGFR2 signaling
FGF3,Signaling by FGFR1
FGF3,Signaling by FGFR2
FGF3,Signaling by FGFR2 in disease
FGF3,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
FGF3,Insulin receptor signalling cascade
FGF3,Signaling by Insulin receptor
FGF4,PI3K Cascade
FGF4,IRS-mediated signalling
FGF4,Signaling by FGFR in disease
FGF4,FGFR1 mutant receptor activation
FGF4,FGFR2 mutant receptor activation
FGF4,Signaling by FGFR
FGF4,FGFR2 ligand binding and activation
FGF4,FGFR4 ligand binding and activation
FGF4,Negative regulation of the PI3K/AKT network
FGF4,Activated point mutants of FGFR2
FGF4,PI3K/AKT Signaling in Cancer
FGF4,Constitutive Signaling by Aberrant PI3K in Cancer
FGF4,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
FGF4,IGF1R signaling cascade
FGF4,IRS-related events triggered by IGF1R
FGF4,Phospholipase C-mediated cascade; FGFR2
FGF4,Phospholipase C-mediated cascade; FGFR4
FGF4,Downstream signaling of activated FGFR1
FGF4,PI-3K cascade:FGFR1
FGF4,FRS-mediated FGFR1 signaling
FGF4,PI-3K cascade:FGFR2
FGF4,Downstream signaling of activated FGFR2
FGF4,SHC-mediated cascade:FGFR2
FGF4,FRS-mediated FGFR2 signaling
FGF4,FRS-mediated FGFR3 signaling
FGF4,Downstream signaling of activated FGFR3
FGF4,FRS-mediated FGFR4 signaling
FGF4,Downstream signaling of activated FGFR4
FGF4,SHC-mediated cascade:FGFR4
FGF4,PI-3K cascade:FGFR4
FGF4,Negative regulation of FGFR1 signaling
FGF4,Negative regulation of FGFR2 signaling
FGF4,Negative regulation of FGFR3 signaling
FGF4,Negative regulation of FGFR4 signaling
FGF4,Signaling by FGFR1
FGF4,Signaling by FGFR2
FGF4,Signaling by FGFR3
FGF4,Signaling by FGFR4
FGF4,Signaling by FGFR2 in disease
FGF4,Signaling by FGFR1 in disease
FGF4,Signaling by FGFR3 in disease
FGF4,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
FGF4,Insulin receptor signalling cascade
FGF4,Signaling by Insulin receptor
FGF6,PI3K Cascade
FGF6,IRS-mediated signalling
FGF6,Signaling by FGFR in disease
FGF6,FGFR1 mutant receptor activation
FGF6,FGFR2 mutant receptor activation
FGF6,Signaling by FGFR
FGF6,FGFR2 ligand binding and activation
FGF6,FGFR4 ligand binding and activation
FGF6,Negative regulation of the PI3K/AKT network
FGF6,Activated point mutants of FGFR2
FGF6,PI3K/AKT Signaling in Cancer
FGF6,Constitutive Signaling by Aberrant PI3K in Cancer
FGF6,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
FGF6,IGF1R signaling cascade
FGF6,IRS-related events triggered by IGF1R
FGF6,Phospholipase C-mediated cascade; FGFR2
FGF6,Phospholipase C-mediated cascade; FGFR4
FGF6,Downstream signaling of activated FGFR1
FGF6,PI-3K cascade:FGFR1
FGF6,FRS-mediated FGFR1 signaling
FGF6,PI-3K cascade:FGFR2
FGF6,Downstream signaling of activated FGFR2
FGF6,SHC-mediated cascade:FGFR2
FGF6,FRS-mediated FGFR2 signaling
FGF6,FRS-mediated FGFR4 signaling
FGF6,Downstream signaling of activated FGFR4
FGF6,SHC-mediated cascade:FGFR4
FGF6,PI-3K cascade:FGFR4
FGF6,Negative regulation of FGFR1 signaling
FGF6,Negative regulation of FGFR2 signaling
FGF6,Negative regulation of FGFR4 signaling
FGF6,Signaling by FGFR1
FGF6,Signaling by FGFR2
FGF6,Signaling by FGFR4
FGF6,Signaling by FGFR2 in disease
FGF6,Signaling by FGFR1 in disease
FGF6,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
FGF6,Insulin receptor signalling cascade
FGF6,Signaling by Insulin receptor
FGF7,PI3K Cascade
FGF7,IRS-mediated signalling
FGF7,Signaling by FGFR in disease
FGF7,FGFR2 mutant receptor activation
FGF7,Signaling by FGFR
FGF7,FGFR2 ligand binding and activation
FGF7,Negative regulation of the PI3K/AKT network
FGF7,Activated point mutants of FGFR2
FGF7,PI3K/AKT Signaling in Cancer
FGF7,Constitutive Signaling by Aberrant PI3K in Cancer
FGF7,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
FGF7,IGF1R signaling cascade
FGF7,IRS-related events triggered by IGF1R
FGF7,Phospholipase C-mediated cascade; FGFR2
FGF7,PI-3K cascade:FGFR2
FGF7,Downstream signaling of activated FGFR2
FGF7,SHC-mediated cascade:FGFR2
FGF7,FRS-mediated FGFR2 signaling
FGF7,Negative regulation of FGFR2 signaling
FGF7,Signaling by FGFR2
FGF7,Signaling by FGFR2 in disease
FGF7,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
FGF7,Insulin receptor signalling cascade
FGF7,Signaling by Insulin receptor
FGF9,PI3K Cascade
FGF9,IRS-mediated signalling
FGF9,Signaling by FGFR in disease
FGF9,FGFR1 mutant receptor activation
FGF9,FGFR2 mutant receptor activation
FGF9,Signaling by FGFR
FGF9,FGFR2 ligand binding and activation
FGF9,FGFR4 ligand binding and activation
FGF9,Negative regulation of the PI3K/AKT network
FGF9,Activated point mutants of FGFR2
FGF9,PI3K/AKT Signaling in Cancer
FGF9,Constitutive Signaling by Aberrant PI3K in Cancer
FGF9,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
FGF9,IGF1R signaling cascade
FGF9,IRS-related events triggered by IGF1R
FGF9,Phospholipase C-mediated cascade; FGFR2
FGF9,Phospholipase C-mediated cascade; FGFR4
FGF9,Downstream signaling of activated FGFR1
FGF9,PI-3K cascade:FGFR1
FGF9,FRS-mediated FGFR1 signaling
FGF9,PI-3K cascade:FGFR2
FGF9,Downstream signaling of activated FGFR2
FGF9,SHC-mediated cascade:FGFR2
FGF9,FRS-mediated FGFR2 signaling
FGF9,FRS-mediated FGFR3 signaling
FGF9,Downstream signaling of activated FGFR3
FGF9,FRS-mediated FGFR4 signaling
FGF9,Downstream signaling of activated FGFR4
FGF9,SHC-mediated cascade:FGFR4
FGF9,PI-3K cascade:FGFR4
FGF9,Negative regulation of FGFR1 signaling
FGF9,Negative regulation of FGFR2 signaling
FGF9,Negative regulation of FGFR3 signaling
FGF9,Negative regulation of FGFR4 signaling
FGF9,Signaling by FGFR1
FGF9,Signaling by FGFR2
FGF9,Signaling by FGFR3
FGF9,Signaling by FGFR4
FGF9,Signaling by FGFR2 in disease
FGF9,Signaling by FGFR1 in disease
FGF9,Signaling by FGFR3 in disease
FGF9,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
FGF9,Insulin receptor signalling cascade
FGF9,Signaling by Insulin receptor
FGF10,PI3K Cascade
FGF10,IRS-mediated signalling
FGF10,Signaling by FGFR in disease
FGF10,FGFR2 mutant receptor activation
FGF10,Signaling by FGFR
FGF10,FGFR2 ligand binding and activation
FGF10,Negative regulation of the PI3K/AKT network
FGF10,Activated point mutants of FGFR2
FGF10,PI3K/AKT Signaling in Cancer
FGF10,Constitutive Signaling by Aberrant PI3K in Cancer
FGF10,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
FGF10,IGF1R signaling cascade
FGF10,IRS-related events triggered by IGF1R
FGF10,Phospholipase C-mediated cascade; FGFR2
FGF10,Downstream signaling of activated FGFR1
FGF10,PI-3K cascade:FGFR1
FGF10,FRS-mediated FGFR1 signaling
FGF10,PI-3K cascade:FGFR2
FGF10,Downstream signaling of activated FGFR2
FGF10,SHC-mediated cascade:FGFR2
FGF10,FRS-mediated FGFR2 signaling
FGF10,Negative regulation of FGFR1 signaling
FGF10,Negative regulation of FGFR2 signaling
FGF10,Signaling by FGFR1
FGF10,Signaling by FGFR2
FGF10,Signaling by FGFR2 in disease
FGF10,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
FGF10,Insulin receptor signalling cascade
FGF10,Signaling by Insulin receptor
FGFR3,Signaling by FGFR in disease
FGFR3,Signaling by FGFR3 in disease
FGFR2,Signaling by FGFR in disease
FGFR2,FGFR2 mutant receptor activation
FGFR2,Signaling by FGFR2 in disease
FGFR4,Signaling by FGFR
FGFR4,FGFR4 ligand binding and activation
FGFR4,Signaling by FGFR4
FGG,Integrin signaling
FGG,p130Cas linkage to MAPK signaling for integrins
FGG,Diseases of Immune System
FGG,Diseases associated with the TLR signaling cascade
FGG,MAP2K and MAPK activation
FGG,Signaling by moderate kinase activity BRAF mutants
FGG,Signaling by high-kinase activity BRAF mutants
FGG,Signaling by RAS mutants
FGG,Signaling by BRAF and RAF1 fusions
FGG,Paradoxical activation of RAF signaling by kinase inactive BRAF
FGG,Oncogenic MAPK signaling
FGG,Signaling downstream of RAS mutants
FGG,Signaling by RAF1 mutants
FGR,Anti-inflammatory response favouring Leishmania parasite infection
FGR,FCGR3A-mediated IL10 synthesis
FGR,Parasite infection
FGR,Leishmania phagocytosis
FGR,FCGR3A-mediated phagocytosis
FGR,Leishmania parasite growth and survival
FKBP1A,MTOR signalling
FKBP1A,mTORC1-mediated signalling
FKBP1A,Signaling by TGF-beta Receptor Complex
FKBP1A,TGF-beta receptor signaling activates SMADs
FKBP1A,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
FKBP1A,Potential therapeutics for SARS
FKBP1A,SARS-CoV-1-host interactions
FKBP1A,SARS-CoV-1 activates/modulates innate immune responses
RRAS2,RND1 GTPase cycle
RASA3,Regulation of RAS by GAPs
RHOBTB3,RHOBTB3 ATPase cycle
ANKRD26,RND3 GTPase cycle
ANKRD26,RND2 GTPase cycle
ANKRD26,RND1 GTPase cycle
SLITRK3,RAC3 GTPase cycle
CNKSR2,MAP2K and MAPK activation
CNKSR2,Signaling by moderate kinase activity BRAF mutants
CNKSR2,Signaling by high-kinase activity BRAF mutants
CNKSR2,Signaling by RAS mutants
CNKSR2,Signaling by BRAF and RAF1 fusions
CNKSR2,Paradoxical activation of RAF signaling by kinase inactive BRAF
CNKSR2,Oncogenic MAPK signaling
CNKSR2,Signaling downstream of RAS mutants
CNKSR2,Signaling by RAF1 mutants
DZIP1,Hedgehog 'on' state
FKBP4,Estrogen-dependent gene expression
FKBP4,Potential therapeutics for SARS
ARHGEF15,NRAGE signals death through JNK
ARHGEF15,p75 NTR receptor-mediated signalling
ARHGEF15,"Cell death signalling via NRAGE, NRIF and NADE"
ARHGEF15,G alpha (12/13) signalling events
ARHGEF15,RHOA GTPase cycle
NCBP2,Signaling by FGFR in disease
NCBP2,Formation of HIV elongation complex in the absence of HIV Tat
